layer,log_stock,NDSI
0-20,0.917362647,7.9904299
0-20,0.958145153,7.9904299
0-20,,11.8274002
0-20,,6.2459502
0-20,0.453544604,6.8486199
0-20,0.511412732,6.8486199
0-20,0.583896713,6.8486199
20-40,0.447874027,6.8486199
0-20,0.415260555,6.8486199
0-20,0.426472222,6.8486199
0-20,0.471015788,6.8486199
20-40,0.225526375,6.8486199
0-20,0.281397022,6.8486199
0-20,0.253270142,6.8486199
0-20,0.191786248,6.8486199
20-40,0.24663643,6.8486199
0-20,0.269456903,6.8486199
0-20,0.224035553,6.8486199
0-20,0.136885378,6.8486199
20-40,0.160102213,6.8486199
0-20,0.348764232,6.8486199
0-20,0.338560074,6.8486199
0-20,0.224035553,6.8486199
20-40,0.112081925,6.8486199
0-20,0.687503991,6.8486199
0-20,0.652934476,6.8486199
0-20,0.597260674,6.8486199
20-40,0.440329636,6.8486199
0-20,0.681393214,6.8486199
0-20,0.583896713,6.8486199
0-20,0.426472222,6.8486199
20-40,0.242655701,6.8486199
0-20,1.309223784,7.9904299
0-20,1.050091162,7.9904299
20-40,0.953193145,7.9904299
20-40,0.955855087,7.9904299
0-20,1.094198517,7.9904299
0-20,0.917362647,7.9904299
20-40,0.809195967,7.9904299
20-40,0.838153663,7.9904299
0-20,-0.016879105,2.72014
0-20,-0.016879105,2.72014
0-20,-0.016879105,2.72014
0-20,-0.016879105,2.72014
0-20,-0.016879105,2.72014
0-20,-0.016879105,2.72014
0-20,-0.016879105,2.72014
0-20,-0.003488328,2.72014
0-20,-0.080921908,2.72014
0-20,-0.04383157,2.72014
0-20,-0.20481541,2.72014
0-20,-0.089375595,2.72014
0-20,-0.092588639,2.72014
0-20,-0.094743951,2.72014
20-40,-0.295849483,2.72014
20-40,-0.156767222,2.72014
20-40,-0.145693958,2.72014
20-40,-0.199282922,2.72014
20-40,-0.225483034,2.72014
20-40,-0.164943898,2.72014
20-40,-0.206209615,2.72014
0-20,0.92867232,16.4754009
0-20,1.007863802,20.3871002
0-20,0.979045504,20.3871002
0-20,1.007476366,20.3871002
20-40,1.076591806,20.3871002
0-20,0.565375503,7.40659
0-20,0.51054501,7.40659
0-20,0.441852176,7.40659
20-40,0.292256071,7.40659
0-20,0.903159469,7.9904299
0-20,0.916803349,7.9904299
0-20,0.889073007,7.9904299
0-20,0.970559786,7.9904299
0-20,0.889073007,7.9904299
0-20,0.916803349,7.9904299
0-20,0.958526615,7.9904299
0-20,0.788493617,7.9904299
0-20,0.80617726,7.9904299
0-20,0.750807592,7.9904299
0-20,0.750807592,7.9904299
0-20,0.765325751,7.9904299
0-20,0.745858314,7.9904299
0-20,0.801823394,7.9904299
0-20,1.29578694,21.0009003
20-40,1.179838928,21.0009003
0-20,1.156609718,21.0009003
20-40,1.180068501,21.0009003
0-20,1.233909453,21.0009003
20-40,1.18999534,21.0009003
0-20,1.28546729,21.0009003
20-40,1.194292282,21.0009003
0-20,1.285647309,21.0009003
