layer,log_stock,MBC,log_MBC
20-40,1.15807528,0.121122792,-0.916774127
0-20,1.871618114,0.094621281,-1.024011178
0-20,2.015530338,0.094621281,-1.024011178
0-20,1.280027168,0.073320974,-1.134771774
0-20,1.033346541,0.073320974,-1.134771774
20-40,0.945244585,0.078275094,-1.106376402
0-20,1.848227998,0.072613241,-1.13898418
0-20,1.510475732,0.072613241,-1.13898418
20-40,1.387603561,0.077519541,-1.110588809
0-20,1.14850394,0.02318368,-1.634817626
0-20,1.14690287,0.01494844,-1.825404127
20-40,1.086156163,0.0102888,-1.987635275
20-40,0.942142043,0.03284824,-1.483487895
0-20,1.082785087,0.085223691,-1.069439662
20-40,1.245060268,0.088451854,-1.053293059
0-20,0.981770601,0.054124281,-1.266607858
0-20,1.011824096,0.053588397,-1.270929232
0-20,0.949202585,0.055731933,-1.253895893
0-20,0.991443169,0.056267817,-1.249739933
0-20,0.804570104,0.038583646,-1.413596736
0-20,0.805084715,0.036975994,-1.432080141
0-20,1.360029639,0.086739491,-1.061783131
0-20,1.246260195,0.086739491,-1.061783131
20-40,1.267113506,0.096532659,-1.01532573
0-20,1.095674165,0.086739491,-1.061783131
0-20,1.009454295,0.086739491,-1.061783131
20-40,0.544028336,0.096532659,-1.01532573
0-20,1.079745462,0.086739491,-1.061783131
0-20,0.984847628,0.086739491,-1.061783131
20-40,0.988929777,0.096532659,-1.01532573
0-20,1.314440279,0.04713333,-1.32667188
0-20,1.376248375,0.061594692,-1.210456712
0-20,1.500949647,0.050882572,-1.293430947
0-20,1.493474781,0.049275754,-1.307366725
0-20,1.297436584,0.04713333,-1.32667188
0-20,1.146580707,0.042312875,-1.373527461
0-20,1.45805437,0.047668936,-1.321764545
0-20,1.396706948,0.075050801,-1.124644669
0-20,1.380580235,0.075050801,-1.124644669
0-20,1.035602621,0.079687341,-1.098610665
0-20,0.944632675,0.079687341,-1.098610665
0-20,1.007597583,0.079687341,-1.098610665
0-20,1.269527887,0.079823209,-1.097870816
0-20,0.714825813,0.079823209,-1.097870816
20-40,0.678951547,0.085216669,-1.069475444
0-20,1.320649693,0.079823209,-1.097870816
0-20,0.808750972,0.079823209,-1.097870816
